N1309,Bundesland,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,KPÖ,PIRAT,CPÖ,WANDL,M,EUAUS,SLP,Column
G20630,Kärnten,Radenthein,5095,3311,89,3222,1028,321,681,348,329,320,137,21,37,,,,,,
G20631,Kärnten,Rangersdorf,1385,812,11,801,217,150,227,91,42,62,10,1,1,,,,,,
G20632,Kärnten,Rennweg am Katschberg,1517,1114,30,1084,299,307,205,86,81,59,43,3,1,,,,,,
G20633,Kärnten,Sachsenburg,1048,682,11,671,198,85,180,60,35,64,40,3,6,,,,,,
G20634,Kärnten,Seeboden am Millstätter See,5080,3169,70,3099,666,501,659,350,361,276,251,13,22,,,,,,
G20635,Kärnten,Spittal an der Drau,12068,7633,131,7502,2325,870,1380,669,772,882,516,38,50,,,,,,
G20636,Kärnten,Stall,1365,907,11,896,233,131,210,233,24,51,12,2,0,,,,,,
G20637,Kärnten,Steinfeld,1703,1175,25,1150,423,183,268,86,79,63,41,6,1,,,,,,
G20638,Kärnten,Trebesing,1014,681,10,671,168,178,143,63,44,38,31,3,3,,,,,,
G20639,Kärnten,Weißensee,631,436,7,429,69,144,57,35,51,36,32,4,1,,,,,,
G20640,Kärnten,Winklern,987,590,7,583,169,88,141,70,46,41,26,0,2,,,,,,
G20642,Kärnten,Krems in Kärnten,1528,897,22,875,203,201,202,120,44,75,26,1,3,,,,,,
